epoch,train_loss,val_loss,val_n,val_ndcg@10,val_recall@10
1,4.073819,4.217356,514,0.0532125792471545,0.0507782101167315
2,3.757767,4.405291,514,0.054548969679065,0.0527237354085603
3,3.467116,4.538621,514,0.0579741287617378,0.0575875486381323
4,3.282874,4.651444,514,0.059601354535659,0.0583657587548638
5,3.16377,4.721495,514,0.0560865695284444,0.057976653696498
6,3.068317,4.766036,514,0.0580719472732851,0.0570038910505836
7,2.974203,4.740753,514,0.0641464331011592,0.0616731517509727
8,2.876915,4.726186,514,0.0563730798722861,0.0589494163424124
9,2.801989,4.728683,514,0.0536004338256999,0.0536964980544747
10,2.753656,4.723937,514,0.060583929934555775,0.05972762645914397
